DATAFLOW,LAST UPDATE,freq,currency,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Denmark,2023-S1,,m,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Denmark,2023-S2,,m,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Denmark,2024-S1,,m,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Denmark,2024-S2,,m,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Denmark,2025-S1,,m,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Denmark,2025-S2,,m,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Denmark,2026-S1,,m,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Estonia,2020-S2,584,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Estonia,2021-S1,584,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Estonia,2021-S2,584,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Estonia,2022-S1,654,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Estonia,2022-S2,654,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Estonia,2023-S1,725,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Estonia,2023-S2,725,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Estonia,2024-S1,820,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Estonia,2024-S2,820,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Estonia,2025-S1,886,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Estonia,2025-S2,886,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Estonia,2026-S1,886,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Greece,2020-S2,758,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Greece,2021-S1,758,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Greece,2021-S2,758,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Greece,2022-S1,774,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Greece,2022-S2,832,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Greece,2023-S1,832,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Greece,2023-S2,910,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Greece,2024-S1,910,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Greece,2024-S2,968,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Greece,2025-S1,968,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Greece,2025-S2,1027,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Greece,2026-S1,1027,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Spain,2020-S2,1108,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Spain,2021-S1,1108,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Spain,2021-S2,1108,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Spain,2022-S1,1126,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Spain,2022-S2,1167,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Spain,2023-S1,1167,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Spain,2023-S2,1260,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Spain,2024-S1,1323,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Spain,2024-S2,1323,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Spain,2025-S1,1381,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Spain,2025-S2,1381,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Spain,2026-S1,1381,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Finland,2020-S2,,m,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Finland,2021-S1,,m,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Finland,2021-S2,,m,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Finland,2022-S1,,m,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Finland,2022-S2,,m,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Finland,2023-S1,,m,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Finland,2023-S2,,m,
